Course_Code,Course_Name,URL,Last_Assessed,Last_Published,Note,Prerequisite_Courses,Prerequisite_Units,TD_Interactive,TD_Interactive_Written,TD_Context,TD_Context_Written,TD_Integrative,TD_Integrative_Written,TD_Pluralistic,TD_Pluralistic_Written,TD_Change,TD_Change_Written,TD_Systemic,TD_Systemic_Written,Advice,Assessment URL
PASI2001,Pacific Studies in a Globalising World,https://programsandcourses.anu.edu.au/course/PASI2001,18-Jun-24,01-Jul-24,,Open to all students,Completed minimum of 24 units,Likely (Experts),"LO: Facilitate and lead discussions on contemporary Pacific issues with peers.
LO: Research and present group-based work on Pacific culture, heritage, arts, sports, politics, activism, media or environmental issues.
Assessment: Leading tutorial discussion, Group research project and presentation",Highly Likely,"Description: It emphasizes the complexity, diversity, creativity, and sovereignty of the region. Indigenous Pacific Islander approaches to engaging and learning with and from Oceania, including through dance, poetry, music, fashion and film, are particularly highlighted. 
LO: Demonstrate an understanding of the histories and global forces that have shaped the contemporary Pacific region.",Highly Likely,"Description: This course introduces students to the histories, key terms and approaches shaping the dynamic, transdisciplinary field of Pacific Studies.
LO: Describe and comprehend the nature of interdisciplinary and transdisciplinary Pacific Studies in comparison with single-disciplinary approaches.
LO: Research and present group-based work on Pacific culture, heritage, arts, sports, politics, activism, media or environmental issues.",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
PHYS2205,Physics for Future Leaders,https://cms.anu.edu.au/cms/design/course/65555/view,20-Jul-24,08-Feb-24,,Open to all students,Normally completed at least 24 units,Somewhat Likely (Broad),"Description: Non-physics students: to teach them about how physics can help them make the world a better place. Physics students: to teach them about how their physics knowledge can be applied to make the world a better place.
Assessment: Tests, assignments and groupwork, done during the workshops.",Likely (Experts),"Description: It will also cover the social, economic and political context in which physics is used, and how scientists can most effectively deal with these big-picture issues.",,,,,Likely,"Description: It will also cover the social, economic and political context in which physics is used, and how scientists can most effectively deal with these big-picture issues.",,,,
PNPI1001,"Introduction to Philosophy, Neuroscience, and Psychology",https://cms.anu.edu.au/cms/design/course/57146/view,17-Jul-24,29-Nov-24,,Open to students with relevant backgrounds,No prerequisite units,Somewhat Likely (Material),"Description: 
What is a mind? How do brains give rise to thoughts, feelings, and conscious experiences? And how can different research traditions interact fruitfully to help explore one of the last great mysteries?
NOTE: class summary not created yet",Likely,"Description: It will also expose students to different views about the relationship between the component fields, covering basic topics in scientific inquiry, levels of analysis, and different descriptive perspectives.",Likely,LO: Apply discipline-specific skills from all three disciplines to transdisciplinary research.,Likely,"Description: It will introduce students to the promise and challenges of studying the mind from multiple disciplinary perspectives, giving students access to the basic vocabulary, methods, and constructs of the three component fields.
LO: Understand core topics at the intersection of philosophy, neuroscience, and psychology.",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
PNPI2001,"Topics in Philosophy, Neuroscience, and Psychology",https://cms.anu.edu.au/cms/design/course/67930/view,17-Jul-24,,,Open to students with particular courses,Normally completed at least 48 units,Likely (Experts),"Description: The course will cover a single topic each year from the perspective of philosophy, neuroscience, and psychology, with teaching input from staff and visitors to the three cognate disciplines",Likely,"Description: To understand phenomena like memory, consciousness, bodily sensations, or  navigation, we must approach them from multiple disciplinary perspectives.",Likely,LO: Apply discipline-specific skills to transdisciplinary research in both laboratory and written settings. ,Likely,"Description: Each year's topic will be the focus of transdisciplinary inquiry, focusing on how methods in one discipline can be used to make progress in the questions of another
LO: Examine a core topic at the intersection of philosophy, neuroscience, and psychology.",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
PNPI3001,"Research Project in Philosophy, Neuroscience, and Psychology",https://cms.anu.edu.au/cms/design/course/67931/view,17-Jul-24,,,Open to students with particular courses,Normally completed at least 96 units,Likely (Peers),"Assessment: Group presentation on project
Description: The group presentation will give students an opportunity to defend and critique the concepts used in their proposal. The final summary paper will present and defend the results of the undertaken research.",Somewhat Likely,"Unclear from course description
Description: Students will learn to take a transdisciplinary approach to real research problems",Likely,LO: Design and develop an independent and sustained investigation on a chosen transdisciplinary research topic. ,LIkely,"Description: Students will learn to take a transdisciplinary approach to real research problems, including critical assessment and evaluation in the context of current knowledge and frameworks.",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
PPEI1001,PPE Integration 1,https://cms.anu.edu.au/cms/design/course/70506/view,17-Jul-24,21-Jun-24,,Open to students with relevant backgrounds,No prerequisite units,Likely (Peers),LO: work collaboratively to apply the skills learned on the course to new and complex real-world problems.,Somewhat Likely,LO: think about and discuss puzzles in the social sciences using the tools of PPE,Likely,"LO: demonstrate a working knowledge of key terms, concepts and ideas in the study of PPE",Likely,"Description: 
Each week the students will be set an issue that is a problem or problem in politics, philosophy or economics.",,,,,,
PPEI2001,PPE Integration 2,https://cms.anu.edu.au/cms/design/course/70507/view,17-Jul-24,21-Jun-24,,Open to students with relevant backgrounds,Normally completed at least 42 units,Somewhat Likely (Material),"For example, topics covered",Likely,"Description: Topics such as global warming (and environmental issues more generally), inequality, dealing with risk and uncertainty, and commodification will be used to examine and contrast what philosophers and economists have said about the issues and attempt an intellectually respectable synthesis. ",Likely,"LO: demonstrate a working knowledge of key terms, concepts, and ideas in the study of PPE",Likely,"Description: In each case, the role of 'political elements' will be an important part of the story both substantively, in terms of what the expected role of political institutions might be and what political constraints may be relevant; and conceptually, in terms of the different understanding of political process that philosophers and economists tend to have.",,,,,,
PPEI3001,"PPE Integration 3: Classic Literature in Politics, Philosophy and Economics",https://cms.anu.edu.au/cms/design/course/70323/view,17-Jul-24,02-Jul-24,,Open to students with particular courses,Normally completed at least 96 units,Somewhat Likely (Broad),Activities: Students will be assessed on their ability to respond to the weekly discussion questions for the primary source readings posted on Wattle and their ability to respond thoughtfully to contributions by their peers,Likely,"Description:  At every stage, the course places developments in the field into political and social context and presents alternative sets of ideas and paths not taken that were once prominent but have since been forgotten.",,,,,Likely,"Description: Where did economics come from and how did it assume its current form? This is the fundamental question that this course seeks to investigate by integrating philosophy, politics, and economics through historical analysis",,,,
PSYC1005,The Wellbeing Formula,https://cms.anu.edu.au/cms/design/course/67831/view,17-Jul-24,13-Mar-24,,Open to all students,No prerequisite units,Likely (Experts),Activities: Guest lecture series,Likely,"LO: Understand the key sociocultural factors contributing to wellbeing;
Description: In addition to its focus on psychological factors, the course will address sociocultural factors in terms of the societal determinants of wellbeing and how to build flourishing communities and societies",Likely,LO: Critique the wellbeing literature in terms of its current limitations so as to understand fruitful directions for future research,,,,,,,,
PSYC2007,Biological Basis of Behaviour,https://cms.anu.edu.au/cms/design/course/63564/view,17-Jul-24,22-Nov-23,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Broad),Assessment: Laboratory participation. Students will be assessed on the amount of and quality of their involvement in discussion in the laboratory classes. Being able to interact with others and discuss scientific concepts is an important skill and one that is relevant to many potential employers.,Not Likely,"Narrow context discussed in description:  In this course we will look at the workings of the brain, with particular focus on understanding aspects of brain function that are of particular importance to psychology.",Likely,"LO: Compare and contrast particular approaches to studying brain function with respect to their use to answer a particular research question.
Description: . Consequently, this course focus on the link between neuroscience and psychological functioning.
LO: Explain the link between psychological and brain functioning.",,,,,,,,
PSYC2011,Introduction to Forensic and Criminal Psychology,https://cms.anu.edu.au/cms/design/course/58823/view,17-Jul-24,31-Oct-23,,Open to students with relevant backgrounds,Normally completed at least 48 units,Somewhat Likely (Material),"LO: Describe key concepts
in psychology and the law and the theories and the methods used to address
these.",Likely,"LO: major areas of psychology and law, including (but not limited to) psychology of forensic science, lie detection, interrogations and confessions, eyewitness memory, jury decision making, mental health law, and the psychology of specific types of criminal offender",Likely,LO: Think critically about the interactive relationship between psychology and the law.,,,Somewhat Likely,"Description: e text will provide the student with a broad understanding of the impact that psychology can have on any one individual within the criminal justice system, as well as the impact that psychology can have on the legal system itself.",,,,
PSYC2012,Culture and Psychology,https://cms.anu.edu.au/cms/design/course/71181/view,17-Jul-24,31-Oct-23,,Open to students with particular courses,Normally completed at least 48 units,Highly Likely,"LO: Demonstrate effective communication and interpersonal skills in a variety of formats (e.g., written and verbal, collaboration with peers) for audiences with diverse cultural backgrounds and/or in the context of understanding the interconnections between culture and psychology.
Assessment: Group Presentation",Likely,"Description: Critically examine psychological practices, research and theory in relation to cross-cultural perspectives and theories of cross-cultural competency
LO: The course situates mainstream psychology in the culture from which it has emerged and then explores some psychological implications of practicing psychology as a Eurocentric science, particularly in the context of the colonial history of Australia.",Likely,LO: Contextualise the discipline of psychology in Australia within the wider context of Australia's colonial history,Likely,"LO: Critically examine psychological practices, research and theory in relation to cross-cultural perspectives and theories of cross-cultural competency",,,,,,
PSYC3020,Health Psychology,https://cms.anu.edu.au/cms/design/course/58851/view,17-Jul-24,22-Nov-23,,Open to students with particular courses,Normally completed at least 96 units,Likely (Experts),Activities: The course will also feature guest lectures from researchers at the forefront of their specific research fields in health psychology,Likely,"LO: Understand how health-related behaviours are shaped by a range of individual, environmental, social, and cultural factors.",Likely,"LO: Critically appraise dominant and emerging theoretical models of health behaviour, and the factors that are proposed to underpin positive and negative changes in health-related behaviours.",,,Likely,LO: Critically evaluate health behaviour change interventions and the methods used to assess health behaviours.,,,,
SCNC2201,Optimism and Agency in Times of Change,https://cms.anu.edu.au/cms/design/course/69100/view,17-Jul-24,13-May-24,,Open to all students,Normally completed at least 24 units,Highly Likely,LO: Demonstrate high level skills in working in teams; facilitate learning and provide developmental feedback to others.,Likely,LO: Analyse the connections between their lives and large scale changes in society and our environment. ,Likely,LO: Understand the hierarchy of actions from personal choices up to mobilising positive change across society. ,,,Likely,LO: Develop an action plan for an active and constructive social engagement and to commence implementation,,,,
SCOM1001,Science Communication 1: Introduction to Science Communication,https://cms.anu.edu.au/cms/design/course/32669/view,17-Jul-24,20-Jun-24,,Open to all students,No prerequisite units,Likely (Peers),LO: Work professionally in a collaborative environment. ,Likely,"Assessment:  provides an introduction to contemporary social and communication issues in science, technology, and society.
LO: Understand and describe the key issues and importance of effective science communication, recognising how social contexts affect the practice and communication of science.",Likely,LO: Defend and construct evidence-based arguments based on sound scientific and science communication/ social evidence and calling on theories and methods from across many disciplines ,,,,,,,,
SCOM1002,Evidence and Social Change,https://cms.anu.edu.au/cms/design/course/69178/view,17-Jul-24,20-Jun-24,,Open to all students,No prerequisite units,Likely (Peers),LO:  Work as part of a team in a collaborative environment.,Likely,LO: Abstract and characterise key elements of science-based evidence underlying current  big  social issues.,Likely,LO: Construct and defend evidence-based arguments for social change based on the most appropriate available evidence.,,,Likely,LO: Compare and critically evaluate the application of basic science and social science research techniques to communication aimed at effecting social change.,,,,
SCOM2006,"Science, Humour & Pop Culture",https://cms.anu.edu.au/cms/design/course/69244/view,17-Jul-24,19-Jun-24,,Open to all students,Normally completed at least 24 units,Somewhat Likely (Broad),Activities: The intensive week will consist of highly interactive individual and group activities to consolidate learning and teach skills.,Likely,"Description: The course thus investigates both, the ways science has influenced and generated rich and fascinating comic traditions in popular culture, and how humour and comic performance have shaped cultural ideas of sciences and  science humour . ",Likely,"LO:  It looks at the exchange between popular entertainment and science in various media (e.g. comics, film, fiction) over the last 150 years and clarifies the power of humour for bringing science and scientists into the general public discussion.",,,Somewhat Likely,LO: Map the diversity of pop cultural ideas and fictional narratives around science from the last 150 years in a variety of different media and explain their significance for today s access to and understanding of science as and in culture.,,,,
SCOM2031,"Misinformation, Disinformation, and Risk",https://cms.anu.edu.au/cms/design/course/69184/view,17-Jul-24,20-Jun-24,,Open to all students,Normally completed at least 48 units,Likely (Peers),"Assessment: Major project part 2 - Final group report. The project focuses on critiquing the communication efforts of a controversial, science based risk issue of significance in the public domain. ",Likely,"LO: Research, synthesise and professionally communicate information about social, cultural and psychological influences that affect people s perception of risks, misinformation and disinformation associated with science communication",Likely,"LO: Use course reading and lecture materials as a catalyst, and integrate knowledge of published research, to effectively present personal views, and critically respond to those of others, in open forums.",,,Likely,"Description: Uncertainty is everywhere. We casually, often unknowingly, take risks and accept uncertainty many times a day without a second thought. However, in the sciences, and in science communication, we cannot afford to be blas . The ramifications of poor risk communication can and do have dramatic, global consequences. ",,,,
SCOM3029,Science Communication and Planetary Crises,https://cms.anu.edu.au/cms/design/course/69196/view,17-Jul-24,09-Jul-24,,Open to all students,Normally completed at least 72 units,Likely (Peers),"Assessment: Mock Stakeholder Project Proposal / Report
Activities: Group work and feedback in plenary",Likely,"LO: Apply the broader insights to analyse a concrete case of science or technology from different cultural lenses such as Indigenous, Western, global South and transdisciplinary knowledges",,LO: Develop and report on research undertaken to bring a transdisciplinary approach to a case study of science communication for planetary crises,,,Likely,"LO: Understand the relevance of uncertainty, diversity and equity for communicating the sciences of planetary crises",,,,
SCOM3032,Making Modern Science,https://cms.anu.edu.au/cms/design/course/69197/view,17-Jul-24,05-Apr-24,Updated for CPAS Review,Open to all students,Normally completed at least 72 units,Likely (Peers),"[Assessment: 
Lead tutorial discussion and reflection (group work)",Likely,"LO: Apply a historical view of science communication institutions, ideologies and practices to reflect on scientific activity.
Description: On the way, the course traverses key questions, theories and critical moments in the global history of science, to explore topics including communicating science in the law and in public health, through pop culture and science fiction, and hijacking science communication, as in the case of the tobacco wars. ",Likely,"Description: the course traverses key questions, theories and critical moments in the global history of science, to explore topics including communicating science in the law and in public health, through pop culture and science fiction, and hijacking science communication, as in the case of the tobacco wars.
LO: Apply a historical view of science communication institutions, ideologies and practices to reflect on scientific activity.",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
SCOM3033,Health Promotion Principles and Practice,https://programsandcourses.anu.edu.au/course/SCOM3033,18-Jun-24,18-Sep-23,Updated for CPAS Review,Open to all students,Completed minimum of  72 units,Likely (Experts),"Description: Each student will work within a group to identify a particular health issue and then develop, deliver and evaluate a specific health promotion initiative.
LO: Collaborate with others to produce health promotion products and events.",Likely,LO: Discuss potential solutions to societal health problems. ,Likely,"Description: This course emphasises the practical application of theory, aiming to equip students with hands on experience in the work of a health promotion professional.",,,Likely,"Assessment: Health Promotion Project - needs assessment and communication strategy
In small groups you will design, develop, deliver and evaluate a health promotion activity. ",,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
SOCR1001,Foundations of Social Research,https://cms.anu.edu.au/cms/design/course/69304/view,17-Jul-24,17-May-24,,Open to all students,No prerequisite units,Somewhat Likely (Broad),Assessment: Tutorial Participation. Students are expected to actively engage in tutorial sessions by contributing to discussion.,Somewhat Likely,Description: This course examines key issues and assumptions in social research,,,Somewhat Likely,Class Topic: Ways of knowing,Somewhat Likely,Class Topic: Understanding & influencing behaviour,,,,
SOCY2038,Introduction to Quantitative Research Methods,https://programsandcourses.anu.edu.au/course/socy2038,18-Jun-24,05-Jul-24,Updated for TD-GA,Open to all students,Normally completed at least 24 units,Somewhat Likely (Broad),"Assessment: Group project participation
Note: details about group project not available on P&C. This alignment could be strengthened with a learning outcome capturing the collaborative skills developed in the group project. ",Somewhat Likely,"LO: critically evaluate key quantitative methodologies, using historical, critical and ethical approaches including indigenous perspectives; ",,,,,,,,,"Note: I'm sure that something is there, it's just not clear in the description/learning outcomes. Likely TD Skill candidates:

Change-oriented: Involves effective decision-making that encompasses a shared vision, research evidence and attends to unknowns. Accommodates the complexity of change processes.
Context-based: Takes into account historical, political, cultural, and other big-picture circumstances.
Pluralistic: Recognises and works with multiple ways of seeing the world and dealing with problems. ",https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
SOCY2043,Introduction to Qualitative Research Methods,https://programsandcourses.anu.edu.au/course/SOCY2043,18-Jun-24,05-Jul-24,Updated for TD-GA,Open to students with relevant backgrounds,Normally completed at least 24 units,Somewhat Likely (Broad),"Assessment: Workshop Participation, continuous",Likely,"LO: 
In this course we explore the nature of qualitative research and Indigenous qualitative research, and how we can use methods from these approaches to better understand the complexity of social life and relations",Likely,"LO: communicate methodological arguments and research findings in written and oral form with reference to broader methodological, conceptual and substantive debates within sociology and related cognate disciplines.",Somewhat Likely,"Description: Whilst we predominantly explore established techniques such as interviewing and participant observation, emphasis is also placed on how these methods can be supplemented with visual, digital, and material methods.",,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
SOCY3005,Quantitative Projects for Inclusion and Diversity,https://programsandcourses.anu.edu.au/course/SOCY3005,18-Jun-24,25-Jun-24,Updated for TD-GA,Open to all students,Normally completed at least 24 units,Likely (Peers),"Assessment: Assessment Task 5: Workshop participation
Description: Workshop participation comprises on-campus peer interactions, including group work, problem-solving and activity completion. ",Likely,"Description: The course is based on sociological concepts of gender, ethnicity, socio-economic status, social closure and intersectionality, which serve as the foundation for this research.
LO: understand the study design and ethical considerations in research on equity, diversity and inclusion;",Likely,"LO: By the end of the semester, students will have acquired the practical skills and theoretical knowledge necessary to advance EDI practices in diverse institutional settings.",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
SOCY3124,Transforming Society,https://programsandcourses.anu.edu.au/course/SOCY3124,18-Jun-24,21-Apr-23,,Open to students with relevant backgrounds,Normally completed at least 72 units,Somewhat Likely (Broad),"Assessment: Group Presentation and Video production (50%)
LO: Understand the problem of social transformation through collaborative learning and peer engagement",Likely,"LO: Identify key modes of thinking, media, tools and opportunities that can be exploited to transform sociological knowledge into meaningful engagement with specific social issues",Likely,"LO: [Context] Identify key modes of thinking, media, tools and opportunities that can be exploited to transform sociological knowledge into meaningful engagement with specific social issues
LO: [Integrative] Utilise diverse modes of communication for non-sociological audiences and co-producers of knowledge",,,,,,,,https://anu365.sharepoint.com/:f:/r/sites/AcademicPortfolioInitiatives/Shared%20Documents/Curriculum%20Reform/Curriculum%20Updates/TD%20Course%20List%20Assessments?csf=1&web=1&e=eApdfk
SOCY3169,Online Research Methods,https://cms.anu.edu.au/cms/design/course/65043/view,18-Jun-24,20-Nov-23,,Open to students with particular courses,Normally completed at least 96 units,Somewhat Likely (Material),Unclear from course description and SOCY2169 Class Summary,Somewhat Likely,Description: The Internet is increasingly a source of data for social science research and this course provides students with training in online research methods for social research,Likely,LO: design and undertake a small research project involving choice of appropriate data and methods from the course.,,,,,,,,
STAT1008,Quantitative Research Methods,https://cms.anu.edu.au/cms/design/course/32122/view,17-Jul-24,04-Sep-19,,Open to all students,No prerequisite units,Somewhat Likely (Material),"Description: Quantitative Research Methods provides basic training in the gathering, description and analysis of quantitative information in the social, business, management and financial sciences.",Not Likely,Unclear from course description,,,,,,,,,,
STAT2008,Regression Modelling,https://cms.anu.edu.au/cms/design/course/54372/view,17-Jul-24,08-Jun-22,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Material),LO: Explore model selection in a multiple linear regression modelling context.,Not Likely,Unclear from course description,,,,,,,,,,
STAT2013,Introductory Mathematical Statistics for Actuarial Studies,https://cms.anu.edu.au/cms/design/course/37468/view,17-Jul-24,29-Oct-19,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Material),Description: A first course in mathematical statistics,Not Likely,Unclear from course description,,,,,,,,,,
STAT2014,Regression Modelling for Actuarial Studies,https://cms.anu.edu.au/cms/design/course/63882/view,17-Jul-24,23-Oct-23,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Material),"LO: Demonstrate a working knowledge of the R statistical computing language, particularly the graphical capabilities",Not Likely,Unclear from course description,,,,,,,,,,
STAT2032,Financial Mathematics,https://cms.anu.edu.au/cms/classes/80803/view,17-Jul-24,12-Aug-20,,Open to students with particular courses,Normally completed at least 48 units,Somewhat Likely (Material),"Assessment: Potentially peers ""Students are expected to complete this assignment individually or in a group of a maximum of 3"" ",Not Likely,Unclear from course description,Likely,LO: Describe various types of annuities and perpetuities and use them to solve financial transaction problems,,,,,,,,
STAT3015,Generalised Linear Modelling,https://cms.anu.edu.au/cms/design/course/53941/view,17-Jul-24,08-Jun-24,,Open to students with particular courses,Normally completed at least 72 units,Somewhat Likely (Material),"LO: Perform statistical analysis using statistical software, incorporating underlying theory and methodologies.",Not Likely,Unclear from course description,,,,,,,,,,
