academic-plan,program-name,program-acronym,program-year,cricos-code,uac-code,post-nominal,field-of-education,academic-contact,mode-of-delivery,areas-of-interest,academic-career,course-convener,degree-summary__admission-score,degree-summary__requirements-length,degree-summary__requirements-units,introduction,learning-outcomes
HIR,Bachelor of International Relations (Honours),BIR,2023,082703A,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of International Relations (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of International Relations, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of international relations, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': '\t\tpose a significant research question relating to international relations;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to international relations, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.'}"
HIT,Bachelor of Information Technology (Honours),BIT,2023,036677B,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","Honours in Information Technology is a program offered within the Research School Computer Science that offers students who have excelled in their undergraduate studies a challenging but rewarding year of study in computer science. We seek outstanding students who are keen to undertake independent research with the guidance from academic staff, and who wish to be prepared for exciting careers as computing professionals or who wish to pursue further study.Note that students may also pursue an honours year in Computer Science through the ANU Bachelor of Science honours program.","{'1': 'Demonstrate a sound knowledge and critical understanding of research design and methods', '2': 'Apply that knowledge to the development of a research proposal and research plan', '3': 'Develop the capacity to perform high-level independent research', '4': 'Exhibit in-depth knowledge of their chosen research topic', '5': 'Demonstrate a high level of ability to critically analyse and evaluate computer science research questions and communicate the results.'}"
HLANG,Bachelor of Languages (Honours),BLANG,2023,082699C,,BLang Hons,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Languages (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Languages, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of language studies, and through the design and implementation of a research project, an honours thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': 'pose a significant research question relating to language studies;', '2': 'investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to language studies, and place these investigations in the context of the relevant intellectual tradition; and', '3': 'communicate their research and its findings through an appropriate medium.'}"
HMASC,Bachelor of Mathematical Sciences (Honours),BMATHSCI,2023,093293A,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Honours plan that will augment our newly established Bachelor of Mathematical Sciences will be an elite, research-focused program for exceptional students who want to pursue
A career based in the quantitative modelling of the real world;
A research oriented career in government, commerce or industry;
Or postgraduate research leading to a higher degree.","{'1': ' Plan and engage in an independent and sustained critical investigation of a chosen research topic to generate new knowledge in an area of mathematics.', '2': ' Systematically evaluate relevant theory and concepts in mathematics, relate these to appropriate methodologies and evidence, and draw appropriate conclusions.', '3': ' Demonstrate capacity for mathematical reasoning through analysing, proving, and explaining concepts from the chosen research area.', '4': ' Communicate and explain complex concepts clearly and effectively to a variety of audiences.'}"
HMECA,Bachelor of Middle Eastern and Central Asian Studies (Honours),BMECAS,2023,082705K,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Middle Eastern and Central Asian Studies (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of  Middle Eastern and Central Asian Studies, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of Middle Eastern and Central Asian studies, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': '\t\tpose a significant research question relating to Middle Eastern and Central Asian studies;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to Middle Eastern and Central Asian studies, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.'}"
HMEDS,Bachelor of Medical Science (Honours),BMED,2023,036678A,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Medical Science (Honours) degree exemplifies a commitment to research-led education. Building on the Bachelor of Medical Science, which brings together the disciplines of genetics, immunology, nutrition, physiology, microbiology, biochemistry and anatomy. Honours allows the exploration of research possibilities related to medical science from a diverse range of complementary disciplines including biology, neuroscience, chemistry and population health (to name just a few). It gives you preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of your discipline, and through the design and implementation of a research project, which develops new understandings or provides solutions to complex problems. Honours Specialisations are available that mirror the teaching and research strengths at the ANU in science, medicine and health.","{'1': '\t\tPlan and engage in an independent and sustained critical investigation of a chosen research topic to generate new knowledge.', '2': '\t\tSystematically evaluate relevant theory and concepts, relate these to appropriate methodologies and evidence and draw appropriate conclusions.', '3': '\t\tAnalyse and interpret original research data with statistical or other evaluative processes where appropriate.', '4': '\t\tDemonstrate sufficient mastery to understand and apply relevant experimental techniques and methods to collect original research data', '5': '\t\tCommunicate and justify complex concepts and results clearly and effectively to a variety of audiences.'}"
HMUSI,Bachelor of Music (Honours),BMUS,2023,085361E,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Music Honours is characterised by the concept of music—be it performance, composition, music technology, or musicology—as a research-led process that explores questions relevant to our understanding of what it means to be human and of who we are. The core of this program is a substantial piece of original research realised through either performance, composition, or a 20,000 word written document. A performance or composition will be explained verbally through a 5000-word exegesis that explores the creative act as a research process and explains the contribution to knowledge that the creative act makes.","{'1': '\t\tpose a significant research question relating to music;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to music, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.'}"
HPAST,Bachelor of Pacific Studies (Honours),BPACSTD,2023,099245E,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Pacific Studies (Honours) program is an opportunity for students interested in and dedicated to Pacific Studies to do independent research relating to the Pacific in one of the world's leading universities. As an Honours student you will have access to the wealth of Pacific Studies expertise across the ANU and to the great holdings of the University and the National libraries. You will have expert supervisory guidance and research training in the ANU College of Asia and the Pacific. With a Bachelor of Pacific Studies (Honours) degree, you will acquire in-depth contextual knowledge and develop the research skills you need to move on to a higher research degree and/or professional employment.","{'1': ' pose a significant research question relating to Pacific Studies;', '2': ' investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to the discipline, and place these investigations in the context of the relevant intellectual tradition; and', '3': ' communicate their research and its findings through an appropriate medium.\xa0'}"
HPLSC,Bachelor of Political Science (Honours),BPLSC,2023,086220K,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Political Science (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Political Science, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of political science, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': 'pose a significant research question relating to political science;', '2': 'investigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to political science, and place these investigations in the context of the relevant intellectual tradition; and', '3': 'communicate their research and its findings through an appropriate medium.'}"
HPPE,"Bachelor of Politics, Philosophy and Economics (Honours)",BPPE,2023,077324K,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Politics Philosophy and Economics (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Politics Philosophy and Economics, it gives you high-level preparation for professional life or a higher degree by research. You will develop an advanced knowledge of research principles, methods and theoretical concepts of politics, philosophy and economics, and design and implement a research project, namely a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': '\t\tpose a significant research question relating to politics, philosophy and economics;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to politics, philosophy and economics, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.'}"
HPPOL,Bachelor of Public Policy (Honours),BPPOL,2023,097616K,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Public Policy (Honours) degree exemplifies the ANU commitment to research-led education. Building on the Bachelor of Public Policy, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of public policy, and through the design and implementation of a research project, typically a 20,000 word thesis, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': ' Pose a significant research question relating to public policy;', '2': ' Investigate this question creatively, critically, ethically, and independently, including through sophisticated use of theory and methodology as appropriate to public policy, and place these investigations in the context of the relevant intellectual tradition; and', '3': ' Communicate their research and its findings through an appropriate medium.'}"
HSC,Bachelor of Science (Honours),BSC,2023,000334M,,Bsc Hons,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ",The Bachelor of Science (Honours) is a diverse and flexible science degree with an emphasis on research-led education. Explore anything from biology or climate science to psychology or astrophysics. You will learn advanced knowledge of research principles as well as the methods and theoretical concepts of your discipline. You’ll also get to design your own research project which will help you to understand and provide solutions to complex problems facing our world.Study the Bachelor of Science (Honours) and discover your unique interests.,"{'1': 'Plan and engage in an independent and sustained critical investigation of a chosen research topic to generate new knowledge.', '2': 'Systematically evaluate relevant theory and concepts, relate these to appropriate methodologies and evidence and draw appropriate conclusions.', '3': 'Analyse and interpret original research data with statistical or other evaluative processes where appropriate.', '4': 'Demonstrate sufficient mastery to understand and apply relevant experimental techniques and methods to collect original research data', '5': 'Communicate and justify complex concepts and results clearly and effectively to a variety of audiences.'}"
HSPSY,Bachelor of Science (Psychology) (Honours),BSCPSYC,2023,047429E,,BPsych Hons,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Science (Psychology) (Honours) degree exemplifies a commitment to research-led education. Honours builds on the Bachelor of Science (Psychology) which will expose you to a wide range of psychological sciences, covering topics as varied as how groups interact, vision and how it can be tricked to see what is not really there, how the brain develops as a baby and how it will change again as you get older, how impulses are carried from brain to muscle, and how things go wrong in abnormal psychology. Honours allows the exploration of research possibilities in this field, it gives you preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of your discipline, and through the design and implementation of a research project, that develops new understandings or provides solutions to complex problems. Honours Specialisations are available that mirror the teaching and research strengths at the ANU in science, medicine and health.","{'1': 'Plan and engage in an independent and sustained critical investigation of a chosen research topic to generate new knowledge.', '2': 'Systematically evaluate relevant theory and concepts, relate these to appropriate methodologies and evidence and draw appropriate conclusions.', '3': 'Analyse and interpret original research data with statistical or other evaluative processes where appropriate.', '4': 'Demonstrate sufficient mastery to understand and apply relevant experimental techniques and methods to collect original research data', '5': 'Communicate and justify complex concepts and results clearly and effectively to a variety of audiences.'}"
HSTAT,Bachelor of Statistics (Honours),BSTAT,2023,070156M,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","Honours in Statistics is a program offered within the Research School of Finance, Actuarial Studies and Applied Statistics that offers students who have excelled in their undergraduate studies a challenging but rewarding year of study in statistics. We seek outstanding students who are keen to undertake independent statistical research with the guidance from academic staff. Past students graduating from the Honours in Statistics program have been highly successful in professional practice and a number have progressed to PhD studies.","{'1': ' Demonstrate a sound knowledge and critical understanding of research design and methods', '2': ' Apply that knowledge to the development of a research proposal and research plan', '3': ' Develop the capacity to perform high-level independent research', '4': ' Exhibit in-depth knowledge of their chosen research topic', '5': ' Demonstrate a high level of ability to critically analyse statistical inferential approaches.'}"
HVART,Bachelor of Visual Arts (Honours),BVA,2023,071656E,, ,,,In Person,,,,,"
Length
1 year full-time
","
Minimum
            48 Units
        ","The Bachelor of Visual Arts (Honours) degree exemplifies ANU’s commitment to research-led education. Building on the Bachelor of Visual Arts, it gives you high-level preparation for professional life or a higher degree by research through the development of an advanced knowledge of the research principles and methods and theoretical concepts of visual arts, and through the design and implementation of a research project, typically the creation and installation/exhibition of a coherent, imaginative, focused and speculative body of artworks by integrating studio and contextual investigation/research, that leads to the development of new understandings or that provides solutions to complex problems.","{'1': '\t\tpose a significant research question relating to visual arts;', '2': '\t\tinvestigate this question creatively, critically, ethically, and independently, including through sophisticated use of appropriate theory and methodology as appropriate to visual arts, and place these investigations in the context of the relevant intellectual tradition; and', '3': '\t\tcommunicate their research and its findings through an appropriate medium.'}"
